cod,nombre,tipo_de_dato,total
04510,Electricidad,Variación mensual,15.9
09601,Turismo nacional,Variación mensual,13.3
09119,Otros equipos audiov.,Variación mensual,7.1
01151,Mantequilla,Variación mensual,4.6
09602,Turismo internacional,Variación mensual,4.2
01154,Aceites comestibles,Variación en lo que va de año,67.3
04530,Combustibles líquidos,Variación en lo que va de año,58.4
09601,Turismo nacional,Variación en lo que va de año,42.6
01112,Harinas y cereales,Variación en lo que va de año,33.8
11201,"Hoteles, pensiones",Variación en lo que va de año,33.4
04530,Combustibles líquidos,Variación anual,79.1
01154,Aceites comestibles,Variación anual,71.2
04510,Electricidad,Variación anual,60.6
01112,Harinas y cereales,Variación anual,39
01151,Mantequilla,Variación anual,31.8
